Class ID	Preference Count	Enrollment Count	Fit Percentage
017171	1	1	100.00%
017172	6	6	100.00%
017173	1	1	100.00%
005745	2	2	100.00%
015432	6	6	100.00%
016879	3	3	100.00%
013920	1	1	100.00%
011987	2	2	100.00%
005853	2	2	100.00%
005734	4	4	100.00%
015417	2	2	100.00%
013915	7	7	100.00%
006038	8	8	100.00%
013155	6	6	100.00%
014114	12	12	100.00%
012734	3	3	100.00%
002383	3	3	100.00%
002384	4	4	100.00%
012735	4	4	100.00%
001176	5	5	100.00%
007032	8	8	100.00%
004306	8	8	100.00%
004304	7	7	100.00%
002373	3	3	100.00%
002374	3	3	100.00%
002433	6	6	100.00%
013210	5	5	100.00%
015869	8	8	100.00%
014537	1	1	100.00%
004740	4	4	100.00%
005272	3	3	100.00%
001457	3	3	100.00%
002669	1	1	100.00%
002420	3	3	100.00%
005258	6	6	100.00%
017124	2	2	100.00%
017126	6	6	100.00%
012352	3	3	100.00%
017121	4	4	100.00%
017122	5	5	100.00%
014523	5	5	100.00%
002671	2	2	100.00%
010966	6	6	100.00%
004293	3	3	100.00%
001249	23	23	100.00%
003421	10	10	100.00%
016862	3	3	100.00%
011296	7	7	100.00%
016855	9	9	100.00%
005295	9	9	100.00%
012818	10	10	100.00%
002564	16	16	100.00%
013342	1	1	100.00%
014310	2	2	100.00%
003541	5	5	100.00%
001242	3	3	100.00%
004379	5	5	100.00%
014180	5	5	100.00%
004015	9	9	100.00%
005228	8	8	100.00%
004810	3	3	100.00%
007888	3	3	100.00%
014185	2	2	100.00%
001427	3	3	100.00%
013647	4	4	100.00%
001899	11	11	100.00%
007878	10	10	100.00%
004809	9	9	100.00%
015015	1	1	100.00%
012665	4	4	100.00%
014969	7	7	100.00%
007882	3	3	100.00%
001563	1	1	100.00%
006582	1	1	100.00%
002404	1	1	100.00%
004825	2	2	100.00%
001552	3	3	100.00%
005120	5	5	100.00%
003008	16	16	100.00%
003493	2	2	100.00%
006868	4	4	100.00%
013156	1	1	100.00%
003485	10	10	100.00%
002396	8	8	100.00%
003002	8	8	100.00%
009225	11	11	100.00%
002390	5	5	100.00%
008495	2	2	100.00%
001766	11	11	100.00%
015014	2	2	100.00%
015013	10	10	100.00%
011322	3	3	100.00%
011208	1	1	100.00%
006542	5	5	100.00%
004360	2	2	100.00%
001755	4	4	100.00%
001871	3	3	100.00%
006523	4	4	100.00%
001752	7	7	100.00%
001757	6	6	100.00%
001758	5	5	100.00%
016445	6	6	100.00%
002571	31	30	96.77%
004889	18	17	94.44%
011342	17	16	94.12%
016923	15	14	93.33%
001763	15	14	93.33%
004290	13	12	92.31%
004807	13	12	92.31%
001774	12	11	91.67%
001185	11	10	90.91%
001765	11	10	90.91%
005725	10	9	90.00%
007113	10	9	90.00%
013193	20	18	90.00%
004282	19	17	89.47%
003029	19	17	89.47%
004356	19	17	89.47%
002686	9	8	88.89%
010860	9	8	88.89%
002874	9	8	88.89%
009386	9	8	88.89%
002653	9	8	88.89%
004288	9	8	88.89%
007403	17	15	88.24%
007398	16	14	87.50%
015860	8	7	87.50%
015856	8	7	87.50%
013184	8	7	87.50%
