Class Schedule:
Course: 017171 -> Time Slot: 3 (11:10 AM - 12:00 PM, Days: MWF)
Course: 017172 -> Time Slot: 1 (9:10 AM - 10:00 AM, Days: MWF)
Course: 017173 -> Time Slot: 2 (9:55 AM - 12:45 PM, Days: TH)
Course: 007923 -> Time Slot: 1 (9:10 AM - 10:00 AM, Days: MWF)
Course: 007007 -> Time Slot: 31 (1:10 PM - 3:30 PM, Days: W)
Course: 007128 -> Time Slot: 2 (9:55 AM - 12:45 PM, Days: TH)
Course: 005745 -> Time Slot: 1 (9:10 AM - 10:00 AM, Days: MWF)
Course: 016882 -> Time Slot: 6 (1:10 PM - 4:30 PM, Days: M)
Course: 011190 -> Time Slot: 6 (1:10 PM - 4:30 PM, Days: M)
Course: 015432 -> Time Slot: 3 (11:10 AM - 12:00 PM, Days: MWF)
Course: 016878 -> Time Slot: 2 (9:55 AM - 12:45 PM, Days: TH)
Course: 006041 -> Time Slot: 2 (9:55 AM - 12:45 PM, Days: TH)
Course: 016879 -> Time Slot: 1 (9:10 AM - 10:00 AM, Days: MWF)
Course: 005190 -> Time Slot: 6 (1:10 PM - 4:30 PM, Days: M)
Course: 013920 -> Time Slot: 2 (9:55 AM - 12:45 PM, Days: TH)
Course: 008469 -> Time Slot: 65 (5:10 PM - 6:00 PM, Days: TTH)
Course: 001152 -> Time Slot: 4 (9:10 AM - 12:30 PM, Days: T)
Course: 006049 -> Time Slot: 1 (9:10 AM - 10:00 AM, Days: MWF)
Course: 011987 -> Time Slot: 3 (11:10 AM - 12:00 PM, Days: MWF)
Course: 007375 -> Time Slot: 17 (2:10 PM - 4:00 PM, Days: W)
Course: 006045 -> Time Slot: 54 (7:10 PM - 9:00 PM, Days: T)
Course: 006043 -> Time Slot: 26 (12:10 PM - 1:00 PM, Days: MWF)
Course: 004889 -> Time Slot: 1 (9:10 AM - 10:00 AM, Days: MWF)
Course: 002469 -> Time Slot: 3 (11:10 AM - 12:00 PM, Days: MWF)
Course: 004885 -> Time Slot: 2 (9:55 AM - 12:45 PM, Days: TH)
Course: 002464 -> Time Slot: 1 (9:10 AM - 10:00 AM, Days: MWF)
Course: 005853 -> Time Slot: 3 (11:10 AM - 12:00 PM, Days: MWF)
Course: 005734 -> Time Slot: 1 (9:10 AM - 10:00 AM, Days: MWF)
Course: 017168 -> Time Slot: 59 (12:10 PM - 2:00 PM, Days: W)
Course: 016984 -> Time Slot: 35 (7:10 PM - 9:00 PM, Days: MW)
Course: 016863 -> Time Slot: 4 (9:10 AM - 12:30 PM, Days: T)
Course: 016985 -> Time Slot: 1 (9:10 AM - 10:00 AM, Days: MWF)
Course: 015417 -> Time Slot: 1 (9:10 AM - 10:00 AM, Days: MWF)
Course: 014569 -> Time Slot: 2 (9:55 AM - 12:45 PM, Days: TH)
Course: 015416 -> Time Slot: 2 (9:55 AM - 12:45 PM, Days: TH)
Course: 015655 -> Time Slot: 4 (9:10 AM - 12:30 PM, Days: T)
Course: 007368 -> Time Slot: 8 (1:10 PM - 2:30 PM, Days: MW)
Course: 013915 -> Time Slot: 1 (9:10 AM - 10:00 AM, Days: MWF)
Course: 009304 -> Time Slot: 2 (9:55 AM - 12:45 PM, Days: TH)
Course: 006038 -> Time Slot: 3 (11:10 AM - 12:00 PM, Days: MWF)
Course: 005741 -> Time Slot: 2 (9:55 AM - 12:45 PM, Days: TH)
Course: 003441 -> Time Slot: 2 (9:55 AM - 12:45 PM, Days: TH)
Course: 006035 -> Time Slot: 7 (2:25 PM - 3:45 PM, Days: TTH)
Course: 013919 -> Time Slot: 3 (11:10 AM - 12:00 PM, Days: MWF)
Course: 006034 -> Time Slot: 4 (9:10 AM - 12:30 PM, Days: T)
Course: 006031 -> Time Slot: 5 (10:10 AM - 11:00 AM, Days: MWF)
Course: 011859 -> Time Slot: 1 (9:10 AM - 10:00 AM, Days: MWF)
Course: 003465 -> Time Slot: 1 (9:10 AM - 10:00 AM, Days: MWF)
Course: 001845 -> Time Slot: 32 (7:10 PM - 9:00 PM, Days: M)
Course: 013155 -> Time Slot: 5 (10:10 AM - 11:00 AM, Days: MWF)
Course: 006060 -> Time Slot: 2 (9:55 AM - 12:45 PM, Days: TH)
Course: 014114 -> Time Slot: 2 (9:55 AM - 12:45 PM, Days: TH)
Course: 015445 -> Time Slot: 4 (9:10 AM - 12:30 PM, Days: T)
Course: 012734 -> Time Slot: 3 (11:10 AM - 12:00 PM, Days: MWF)
Course: 002383 -> Time Slot: 1 (9:10 AM - 10:00 AM, Days: MWF)
Course: 006500 -> Time Slot: 41 (2:40 PM - 4:00 PM, Days: W)
Course: 002384 -> Time Slot: 1 (9:10 AM - 10:00 AM, Days: MWF)
Course: 006860 -> Time Slot: 7 (2:25 PM - 3:45 PM, Days: TTH)
Course: 012735 -> Time Slot: 2 (9:55 AM - 12:45 PM, Days: TH)
Course: 001176 -> Time Slot: 3 (11:10 AM - 12:00 PM, Days: MWF)
Course: 007398 -> Time Slot: 1 (9:10 AM - 10:00 AM, Days: MWF)
Course: 007032 -> Time Slot: 2 (9:55 AM - 12:45 PM, Days: TH)
Course: 007396 -> Time Slot: 51 (5:10 PM - 6:00 PM, Days: W)
Course: 004306 -> Time Slot: 2 (9:55 AM - 12:45 PM, Days: TH)
Course: 006847 -> Time Slot: 16 (2:10 PM - 4:00 PM, Days: F)
Course: 003454 -> Time Slot: 23 (10:10 AM - 1:00 PM, Days: F)
Course: 004304 -> Time Slot: 3 (11:10 AM - 12:00 PM, Days: MWF)
Course: 002368 -> Time Slot: 15 (2:10 PM - 4:00 PM, Days: M)
Course: 001158 -> Time Slot: 5 (10:10 AM - 11:00 AM, Days: MWF)
Course: 016894 -> Time Slot: 7 (2:25 PM - 3:45 PM, Days: TTH)
Course: 001837 -> Time Slot: 1 (9:10 AM - 10:00 AM, Days: MWF)
Course: 008470 -> Time Slot: 2 (9:55 AM - 12:45 PM, Days: TH)
Course: 007381 -> Time Slot: 66 (11:10 AM - 12:00 PM, Days: MW)
Course: 016885 -> Time Slot: 2 (9:55 AM - 12:45 PM, Days: TH)
Course: 016886 -> Time Slot: 4 (9:10 AM - 12:30 PM, Days: T)
Course: 015678 -> Time Slot: 1 (9:10 AM - 10:00 AM, Days: MWF)
Course: 006851 -> Time Slot: 27 (1:10 PM - 2:30 PM, Days: M)
Course: 007028 -> Time Slot: 6 (1:10 PM - 4:30 PM, Days: M)
Course: 002373 -> Time Slot: 1 (9:10 AM - 10:00 AM, Days: MWF)
Course: 001164 -> Time Slot: 53 (12:10 PM - 1:10 PM, Days: MW)
Course: 002374 -> Time Slot: 1 (9:10 AM - 10:00 AM, Days: MWF)
Course: 003460 -> Time Slot: 3 (11:10 AM - 12:00 PM, Days: MWF)
Course: 003406 -> Time Slot: 12 (12:55 PM - 2:15 PM, Days: TTH)
Course: 002433 -> Time Slot: 5 (10:10 AM - 11:00 AM, Days: MWF)
Course: 008778 -> Time Slot: 8 (1:10 PM - 2:30 PM, Days: MW)
Course: 013210 -> Time Slot: 3 (11:10 AM - 12:00 PM, Days: MWF)
Course: 012355 -> Time Slot: 1 (9:10 AM - 10:00 AM, Days: MWF)
Course: 012353 -> Time Slot: 1 (9:10 AM - 10:00 AM, Days: MWF)
Course: 015869 -> Time Slot: 3 (11:10 AM - 12:00 PM, Days: MWF)
Course: 012354 -> Time Slot: 1 (9:10 AM - 10:00 AM, Days: MWF)
