Complete Class Schedule with Students:
Time Slot	Room	Course	Teacher	Students
MWF 10:10 AM-11:00 AM	TAYE	017171	3995790	4040430
T 9:10 AM-12:30 PM	PK180	017172	4464860	4093159, 3905861, 4092769, 3910463, 3823271, 4044450
MWF 10:10 AM-11:00 AM	EHII	017173	4464860	4094832
MWF 11:10 AM-12:00 PM	TH129	007923	3435819	3913786, 3711797, 3796254, 3884178, 4001712, 4175383
MWF 9:10 AM-10:00 AM	DAL212A	007007	0028980	4096749, 4031284, 4096251, 4164342, 4088956, 4175407, 3904251, 3820858, 3905623, 4276714, 4278734, 4372390, 4038907, 4277162, 4279260, 3768339
TH 9:55 AM-12:45 PM	BYC239	007128	3198619	3693501, 4096251, 3650225, 3768620, 3820395, 3687862, 3665300, 3609553, 3816708, 3910753, 3655428, 3821571, 3821034, 3099420
MWF 10:10 AM-11:00 AM	DAL300	005745	4362771	3910617, 3910646
MWF 11:10 AM-12:00 PM	DAL212E	016882	4091222	3931686, 3931971, 4001588, 3759337, 3914683, 4086280
TH 9:55 AM-12:45 PM	PK338	011190	4354090	3860357, 3902911, 3910185, 3913863, 3930841, 3821254, 4091785, 3915088
T 9:10 AM-12:30 PM	BYC127	015432	0129398	3692862, 3821059, 3884178, 4086391, 3652959, 3910712
T 9:10 AM-12:30 PM	RCCON	016878	3443571	3667654, 3913185
TH 9:55 AM-12:45 PM	DAL10	006041	3818520	3817507, 3850568, 3915267, 3928890, 4092771, 4093607, 4175453, 3936964, 4087228
MWF 10:10 AM-11:00 AM	BYC239	016879	3443571	3575266, 4175472, 4086362
TH 9:55 AM-12:45 PM	CARP15	005190	1137952	3929849, 3992528, 4162177, 3910532, 3792406, 4277525, 3930025, 3901936, 3910549, 3910725, 3910468, 3910523, 3929704
MWF 10:10 AM-11:00 AM	TAYD	013920	0897399	4175290
MWF 9:10 AM-10:00 AM	DAL315	008469	3420576	4091443, 4092004, 3823387, 3992528, 3965315, 4090730
MWF 9:10 AM-10:00 AM	PK243	001152	4354559	3759127, 3851827, 3932089, 3989696, 4062513, 4091672, 4278573, 4279708, 3959570, 4282008, 4175304, 3797266, 4092251, 4093611, 4278481, 4277844, 3997010, 4037591, 4125081, 4152351, 4275712, 4277525, 4281002, 4371918, 3931449, 4091510, 4146462, 4254672, 3899772, 4278034, 4181031, 4280050, 3881459, 3978317, 3997576, 4003534, 4081695, 4158080, 4277782, 4278720, 4280889, 4282720, 4276256, 4093126, 4176721
MWF 11:10 AM-12:00 PM	EHLEC	006049	0972342	3692862, 3820032, 3821077, 3928890, 3929679, 3903896, 3910530, 4281910
MWF 10:10 AM-11:00 AM	PK25	011987	3764403	3830308, 3931451
MWF 9:10 AM-10:00 AM	TAYG	007375	0820103	3611135, 3652353, 3819645, 4091895, 4095133, 4175373, 4280591, 4280864, 3929894, 3630474, 3788919, 3818480, 3930763, 3901790, 3904411, 3818676, 4075429, 4050929, 3846234, 4095472, 3910680, 4181151, 4096186, 4175355, 4175472, 3910712, 3929704, 3817379, 3666995
MWF 9:10 AM-10:00 AM	TH118	006045	0031526	3887957, 4092290, 4092833, 3821958, 4091936, 4095080, 3691783, 3796906, 4017901, 4092769, 3930301, 4095086, 4093423, 4095234, 3667464
